1741914664.4408,2025-03-13 18:11:04.440,1,28,1.0,75,4,4,1,4,4
1741914664.9605,2025-03-13 18:11:04.960,1,28,1.0,75,4,4,1,4,4
1741914665.4577,2025-03-13 18:11:05.457,1,28,1.0,75,4,4,1,4,4
1741914665.9538,2025-03-13 18:11:05.953,1,28,1.0,67,4,2,2,4,4
1741914666.4731,2025-03-13 18:11:06.473,1,28,1.0,75,4,4,1,4,4
1741914666.9699,2025-03-13 18:11:06.969,1,28,1.0,83,4,4,2,4,4
1741914667.4664,2025-03-13 18:11:07.466,1,28,1.0,75,4,4,1,4,4
1741914667.9864,2025-03-13 18:11:07.986,1,28,1.0,50,4,1,1,4,4
1741914668.4828,2025-03-13 18:11:08.482,1,28,1.0,83,4,4,2,4,4
1741914668.9786,2025-03-13 18:11:08.978,1,28,1.0,75,4,4,1,4,4
1741914669.4996,2025-03-13 18:11:09.499,1,28,1.0,83,4,4,2,4,4
1741914669.9958,2025-03-13 18:11:09.995,1,28,1.0,42,4,0,1,4,4
1741914670.4917,2025-03-13 18:11:10.491,1,28,1.0,58,4,2,1,4,4
1741914671.0125,2025-03-13 18:11:11.012,1,28,1.0,50,4,0,2,4,4
1741914671.5082,2025-03-13 18:11:11.508,1,28,1.0,83,4,4,2,4,4
1741914672.005,2025-03-13 18:11:12.005,1,28,1.0,58,4,1,2,4,4
1741914672.5254,2025-03-13 18:11:12.525,1,28,1.0,50,4,4,2,4,0
1741914673.0213,2025-03-13 18:11:13.021,1,28,1.0,83,4,4,2,4,4
1741914673.5182,2025-03-13 18:11:13.518,1,28,1.0,83,4,4,2,4,4
1741914674.038,2025-03-13 18:11:14.038,1,28,1.0,83,4,4,2,4,4
1741914674.5342,2025-03-13 18:11:14.534,1,28,1.0,42,4,0,1,4,4
1741914675.0323,2025-03-13 18:11:15.032,1,28,1.0,50,4,1,1,4,4
1741914675.5518,2025-03-13 18:11:15.551,1,28,1.0,83,4,4,2,4,4
1741914676.0492,2025-03-13 18:11:16.049,1,28,1.0,50,4,0,2,4,4
1741914676.5464,2025-03-13 18:11:16.546,1,28,1.0,83,4,4,2,4,4
